timestamp,elapsed_min,cpu_perc,mem_usage_mb,mem_limit_mb,mem_perc,net_io,block_io
2025-12-18 12:20:41,0,0.16,221.1,7837.7,2.82,35.4kB / 35.6kB,124MB / 401kB
2025-12-18 12:20:57,0,0.62,222.5,7837.7,2.84,44kB / 45.4kB,126MB / 401kB
2025-12-18 12:21:14,0,1.67,222.5,7837.7,2.84,52.9kB / 57.5kB,126MB / 401kB
2025-12-18 12:21:31,0,0.62,222.5,7837.7,2.84,61.7kB / 67.7kB,126MB / 401kB
2025-12-18 12:21:49,1,0.23,222.5,7837.7,2.84,69.6kB / 76.9kB,126MB / 401kB
2025-12-18 12:22:05,1,0.14,222.5,7837.7,2.84,77.8kB / 86.3kB,126MB / 401kB
2025-12-18 12:22:21,1,0.37,222.5,7837.7,2.84,86.6kB / 96.3kB,126MB / 401kB
2025-12-18 12:22:39,1,0.32,222.6,7837.7,2.84,94.3kB / 105kB,126MB / 401kB
2025-12-18 12:22:55,2,0.54,189.8,7837.7,2.42,103kB / 115kB,126MB / 401kB
2025-12-18 12:23:14,2,2.70,189.8,7837.7,2.42,113kB / 128kB,126MB / 401kB
2025-12-18 12:23:31,2,0.29,189.8,7837.7,2.42,121kB / 138kB,126MB / 401kB
2025-12-18 12:23:48,3,0.50,189.8,7837.7,2.42,129kB / 147kB,126MB / 401kB
2025-12-18 12:24:04,3,0.24,189.8,7837.7,2.42,136kB / 156kB,126MB / 401kB
2025-12-18 12:24:20,3,0.77,189.8,7837.7,2.42,144kB / 166kB,126MB / 401kB
2025-12-18 12:24:36,3,0.38,189.8,7837.7,2.42,152kB / 175kB,126MB / 401kB
2025-12-18 12:24:52,4,0.23,189.8,7837.7,2.42,160kB / 184kB,126MB / 401kB
2025-12-18 12:25:08,4,0.25,189.8,7837.7,2.42,169kB / 194kB,126MB / 401kB
2025-12-18 12:25:25,4,0.29,189.8,7837.7,2.42,177kB / 204kB,126MB / 401kB
2025-12-18 12:25:42,5,0.11,189.8,7837.7,2.42,185kB / 213kB,126MB / 401kB
2025-12-18 12:25:58,5,0.29,189.8,7837.7,2.42,193kB / 223kB,126MB / 401kB
2025-12-18 12:26:15,5,0.15,189.8,7837.7,2.42,201kB / 232kB,126MB / 401kB
2025-12-18 12:26:30,5,0.83,189.8,7837.7,2.42,210kB / 244kB,126MB / 401kB
2025-12-18 12:26:46,6,0.25,196,7837.7,2.50,217kB / 253kB,126MB / 401kB
2025-12-18 12:27:02,6,0.17,201.3,7837.7,2.57,226kB / 263kB,127MB / 401kB
2025-12-18 12:27:20,6,0.23,201.6,7837.7,2.57,234kB / 272kB,127MB / 401kB
2025-12-18 12:27:36,6,0.15,201.6,7837.7,2.57,243kB / 282kB,127MB / 401kB
2025-12-18 12:27:52,7,0.33,189.8,7837.7,2.42,251kB / 292kB,127MB / 401kB
2025-12-18 12:28:09,7,0.17,189.8,7837.7,2.42,259kB / 301kB,127MB / 401kB
