rules-processing,2025-12-23_14:53:19,99.55%,238MiB / 7.654GiB,3.04%,8.88MB / 3.93MB,136MB / 676kB
rules-processing,2025-12-23_14:53:32,104.27%,239.8MiB / 7.654GiB,3.06%,9.05MB / 4.01MB,136MB / 688kB
rules-processing,2025-12-23_14:53:43,99.44%,243.2MiB / 7.654GiB,3.10%,9.22MB / 4.1MB,136MB / 713kB
rules-processing,2025-12-23_14:53:55,103.88%,244.3MiB / 7.654GiB,3.12%,9.4MB / 4.18MB,136MB / 2.08MB
rules-processing,2025-12-23_14:54:07,104.29%,240.9MiB / 7.654GiB,3.07%,9.56MB / 4.26MB,136MB / 4.29MB
rules-processing,2025-12-23_14:54:18,85.36%,238.9MiB / 7.654GiB,3.05%,9.71MB / 4.33MB,136MB / 5.67MB
rules-processing,2025-12-23_14:54:30,107.25%,233.3MiB / 7.654GiB,2.98%,9.88MB / 4.4MB,137MB / 5.71MB
rules-processing,2025-12-23_14:54:43,96.08%,233.4MiB / 7.654GiB,2.98%,10MB / 4.47MB,137MB / 5.71MB
rules-processing,2025-12-23_14:54:54,104.12%,233.5MiB / 7.654GiB,2.98%,10.2MB / 4.54MB,137MB / 5.73MB
rules-processing,2025-12-23_14:55:06,101.56%,233.7MiB / 7.654GiB,2.98%,10.3MB / 4.61MB,137MB / 5.74MB
rules-processing,2025-12-23_14:55:17,99.51%,233.8MiB / 7.654GiB,2.98%,10.5MB / 4.69MB,137MB / 5.74MB
rules-processing,2025-12-23_14:55:29,95.64%,232.1MiB / 7.654GiB,2.96%,10.7MB / 4.75MB,137MB / 6.57MB
rules-processing,2025-12-23_14:55:42,98.84%,230.5MiB / 7.654GiB,2.94%,10.8MB / 4.81MB,137MB / 9.18MB
rules-processing,2025-12-23_14:55:54,100.51%,229.6MiB / 7.654GiB,2.93%,11MB / 4.89MB,137MB / 9.2MB
rules-processing,2025-12-23_14:56:06,98.06%,228MiB / 7.654GiB,2.91%,11.1MB / 4.96MB,137MB / 10.7MB
rules-processing,2025-12-23_14:56:18,103.71%,226.1MiB / 7.654GiB,2.88%,11.2MB / 5.03MB,137MB / 15.3MB
rules-processing,2025-12-23_14:56:29,101.54%,223.2MiB / 7.654GiB,2.85%,11.4MB / 5.08MB,137MB / 17.4MB
rules-processing,2025-12-23_14:56:42,103.37%,220.5MiB / 7.654GiB,2.81%,11.5MB / 5.13MB,137MB / 23.3MB
rules-processing,2025-12-23_14:56:54,104.72%,218.4MiB / 7.654GiB,2.79%,11.6MB / 5.18MB,137MB / 29.6MB
rules-processing,2025-12-23_14:57:05,100.33%,203.1MiB / 7.654GiB,2.59%,11.8MB / 5.25MB,137MB / 31.4MB
rules-processing,2025-12-23_14:57:17,101.05%,204.6MiB / 7.654GiB,2.61%,11.9MB / 5.31MB,137MB / 31.5MB
rules-processing,2025-12-23_14:57:29,106.14%,204.8MiB / 7.654GiB,2.61%,12MB / 5.37MB,137MB / 31.5MB
rules-processing,2025-12-23_14:57:42,68.06%,204.9MiB / 7.654GiB,2.61%,12.2MB / 5.43MB,137MB / 31.5MB
rules-processing,2025-12-23_14:57:54,100.08%,205.1MiB / 7.654GiB,2.62%,12.3MB / 5.47MB,137MB / 31.5MB
rules-processing,2025-12-23_14:58:06,93.34%,205.3MiB / 7.654GiB,2.62%,12.4MB / 5.52MB,137MB / 31.5MB
rules-processing,2025-12-23_14:58:18,97.37%,206.3MiB / 7.654GiB,2.63%,12.5MB / 5.58MB,137MB / 31.5MB
rules-processing,2025-12-23_14:58:29,102.10%,205.3MiB / 7.654GiB,2.62%,12.7MB / 5.63MB,137MB / 31.5MB
rules-processing,2025-12-23_14:58:42,97.13%,205.4MiB / 7.654GiB,2.62%,12.8MB / 5.69MB,137MB / 31.5MB
rules-processing,2025-12-23_14:58:54,104.02%,205.6MiB / 7.654GiB,2.62%,12.9MB / 5.75MB,137MB / 31.5MB
rules-processing,2025-12-23_14:59:05,99.85%,206MiB / 7.654GiB,2.63%,13.1MB / 5.8MB,137MB / 31.5MB
rules-processing,2025-12-23_14:59:17,75.00%,205.9MiB / 7.654GiB,2.63%,13.2MB / 5.86MB,137MB / 31.6MB
rules-processing,2025-12-23_14:59:29,93.47%,206MiB / 7.654GiB,2.63%,13.3MB / 5.91MB,137MB / 31.6MB
rules-processing,2025-12-23_14:59:40,103.34%,205MiB / 7.654GiB,2.62%,13.5MB / 5.96MB,137MB / 33.2MB
rules-processing,2025-12-23_14:59:53,104.80%,196.5MiB / 7.654GiB,2.51%,13.6MB / 6.02MB,137MB / 42MB
rules-processing,2025-12-23_15:00:05,80.46%,194.2MiB / 7.654GiB,2.48%,13.7MB / 6.08MB,137MB / 43.8MB
rules-processing,2025-12-23_15:00:16,90.90%,205.5MiB / 7.654GiB,2.62%,13.9MB / 6.14MB,137MB / 44.9MB
rules-processing,2025-12-23_15:00:28,101.88%,206MiB / 7.654GiB,2.63%,14MB / 6.18MB,137MB / 45.1MB
rules-processing,2025-12-23_15:00:40,106.81%,199.9MiB / 7.654GiB,2.55%,14.1MB / 6.24MB,137MB / 45.1MB
rules-processing,2025-12-23_15:00:52,99.39%,200.1MiB / 7.654GiB,2.55%,14.2MB / 6.3MB,137MB / 45.1MB
rules-processing,2025-12-23_15:01:04,70.29%,200.3MiB / 7.654GiB,2.56%,14.4MB / 6.35MB,137MB / 45.1MB
rules-processing,2025-12-23_15:01:16,98.67%,200.7MiB / 7.654GiB,2.56%,14.5MB / 6.41MB,138MB / 45.1MB
rules-processing,2025-12-23_15:01:27,94.37%,200.7MiB / 7.654GiB,2.56%,14.6MB / 6.47MB,138MB / 45.1MB
rules-processing,2025-12-23_15:01:39,107.25%,201MiB / 7.654GiB,2.56%,14.8MB / 6.53MB,138MB / 45.1MB
rules-processing,2025-12-23_15:01:51,99.64%,201.2MiB / 7.654GiB,2.57%,14.9MB / 6.59MB,138MB / 45.2MB
rules-processing,2025-12-23_15:02:03,95.13%,201.3MiB / 7.654GiB,2.57%,15.1MB / 6.65MB,138MB / 45.2MB
rules-processing,2025-12-23_15:02:14,104.20%,201.2MiB / 7.654GiB,2.57%,15.2MB / 6.71MB,138MB / 45.2MB
rules-processing,2025-12-23_15:02:26,103.63%,201.3MiB / 7.654GiB,2.57%,15.3MB / 6.76MB,138MB / 45.2MB
rules-processing,2025-12-23_15:02:38,102.35%,201.5MiB / 7.654GiB,2.57%,15.4MB / 6.81MB,138MB / 45.2MB
rules-processing,2025-12-23_15:02:49,98.38%,201.7MiB / 7.654GiB,2.57%,15.6MB / 6.86MB,138MB / 45.2MB
rules-processing,2025-12-23_15:03:02,107.45%,201.8MiB / 7.654GiB,2.58%,15.7MB / 6.92MB,138MB / 45.2MB
rules-processing,2025-12-23_15:03:14,102.03%,202MiB / 7.654GiB,2.58%,15.8MB / 6.97MB,138MB / 45.2MB
rules-processing,2025-12-23_15:03:26,106.38%,202.1MiB / 7.654GiB,2.58%,15.9MB / 7.03MB,138MB / 45.2MB
rules-processing,2025-12-23_15:03:37,92.59%,201.3MiB / 7.654GiB,2.57%,16.1MB / 7.08MB,138MB / 47MB
rules-processing,2025-12-23_15:03:49,98.60%,199.5MiB / 7.654GiB,2.55%,16.2MB / 7.14MB,138MB / 48.5MB
rules-processing,2025-12-23_15:04:02,101.80%,198.1MiB / 7.654GiB,2.53%,16.3MB / 7.18MB,138MB / 49.8MB
rules-processing,2025-12-23_15:04:14,90.80%,196.1MiB / 7.654GiB,2.50%,16.4MB / 7.24MB,138MB / 51.5MB
rules-processing,2025-12-23_15:04:26,81.68%,196.2MiB / 7.654GiB,2.50%,16.5MB / 7.28MB,138MB / 51.9MB
rules-processing,2025-12-23_15:04:38,101.20%,195.6MiB / 7.654GiB,2.50%,16.7MB / 7.32MB,138MB / 52.5MB
rules-processing,2025-12-23_15:04:50,97.79%,195.4MiB / 7.654GiB,2.49%,16.8MB / 7.38MB,138MB / 52.5MB
rules-processing,2025-12-23_15:05:02,99.67%,200.4MiB / 7.654GiB,2.56%,16.9MB / 7.43MB,138MB / 53.8MB
rules-processing,2025-12-23_15:05:14,108.73%,188.6MiB / 7.654GiB,2.41%,17.1MB / 7.5MB,138MB / 53.8MB
rules-processing,2025-12-23_15:05:26,97.01%,188.7MiB / 7.654GiB,2.41%,17.2MB / 7.54MB,138MB / 53.8MB
rules-processing,2025-12-23_15:05:37,106.77%,191MiB / 7.654GiB,2.44%,17.3MB / 7.6MB,138MB / 53.8MB
rules-processing,2025-12-23_15:05:49,95.27%,189.3MiB / 7.654GiB,2.42%,17.5MB / 7.67MB,138MB / 53.8MB
rules-processing,2025-12-23_15:06:02,105.79%,189.2MiB / 7.654GiB,2.41%,17.6MB / 7.76MB,139MB / 53.8MB
rules-processing,2025-12-23_15:06:14,120.06%,189.6MiB / 7.654GiB,2.42%,17.8MB / 7.83MB,139MB / 53.8MB
rules-processing,2025-12-23_15:06:26,96.85%,189.5MiB / 7.654GiB,2.42%,17.9MB / 7.89MB,139MB / 53.8MB
rules-processing,2025-12-23_15:06:37,104.00%,189.7MiB / 7.654GiB,2.42%,18.1MB / 7.95MB,139MB / 53.9MB
rules-processing,2025-12-23_15:06:49,99.26%,189.8MiB / 7.654GiB,2.42%,18.2MB / 8MB,139MB / 53.9MB
rules-processing,2025-12-23_15:07:01,100.86%,190MiB / 7.654GiB,2.42%,18.3MB / 8.06MB,139MB / 53.9MB
