timestamp,minutes_elapsed,cpu_percent,memory_mb,memory_limit_mb,memory_percent,net_io,block_io
2025-12-23 11:20:32,0,0.24,236,7837.7,,,
2025-12-23 11:20:44,0,0.30,236,7837.7,,,
2025-12-23 11:20:56,0,0.22,236,7837.7,,,
2025-12-23 11:21:07,0,6.43,236,7837.7,,,
2025-12-23 11:21:19,0,0.19,236,7837.7,,,
2025-12-23 11:21:30,0,0.29,236.1,7837.7,,,
2025-12-23 11:21:42,1,95.20,287.7,7837.7,,,
2025-12-23 11:21:55,1,101.31,290.7,7837.7,,,
2025-12-23 11:22:06,1,91.83,291.2,7837.7,,,
2025-12-23 11:22:18,1,103.64,291.3,7837.7,,,
2025-12-23 11:22:29,1,97.70,291.5,7837.7,,,
2025-12-23 11:22:41,2,99.85,292.4,7837.7,,,
2025-12-23 11:22:54,2,100.39,292.8,7837.7,,,
2025-12-23 11:23:06,2,97.18,293.7,7837.7,,,
2025-12-23 11:23:17,2,98.45,292.1,7837.7,,,
2025-12-23 11:23:29,2,100.80,292.3,7837.7,,,
2025-12-23 11:23:41,3,97.59,292.4,7837.7,,,
2025-12-23 11:23:52,3,103.13,293.7,7837.7,,,
2025-12-23 11:24:05,3,105.82,295,7837.7,,,
2025-12-23 11:24:16,3,105.51,294.9,7837.7,,,
2025-12-23 11:24:28,3,102.44,295.3,7837.7,,,
2025-12-23 11:24:39,4,101.62,295.8,7837.7,,,
2025-12-23 11:24:51,4,99.76,246.2,7837.7,,,
2025-12-23 11:25:04,4,91.26,246.7,7837.7,,,
2025-12-23 11:25:16,4,93.40,248.2,7837.7,,,
2025-12-23 11:25:27,4,103.39,246.6,7837.7,,,
2025-12-23 11:25:39,5,95.03,248,7837.7,,,
2025-12-23 11:25:51,5,90.62,248.1,7837.7,,,
2025-12-23 11:26:02,5,106.36,246.8,7837.7,,,
2025-12-23 11:26:15,5,91.82,247.1,7837.7,,,
2025-12-23 11:26:27,5,107.06,247.1,7837.7,,,
2025-12-23 11:26:38,6,103.76,248,7837.7,,,
2025-12-23 11:26:50,6,96.19,248.2,7837.7,,,
2025-12-23 11:27:02,6,112.30,248.2,7837.7,,,
2025-12-23 11:27:14,6,105.73,248.7,7837.7,,,
2025-12-23 11:27:26,6,96.07,247.9,7837.7,,,
2025-12-23 11:27:37,7,107.22,249.1,7837.7,,,
2025-12-23 11:27:49,7,91.66,248.1,7837.7,,,
2025-12-23 11:28:01,7,100.03,248.6,7837.7,,,
2025-12-23 11:28:12,7,103.39,249.4,7837.7,,,
2025-12-23 11:28:25,7,97.54,249.5,7837.7,,,
2025-12-23 11:28:36,8,105.88,249.7,7837.7,,,
2025-12-23 11:28:48,8,93.47,249.8,7837.7,,,
2025-12-23 11:29:00,8,104.76,250.2,7837.7,,,
2025-12-23 11:29:11,8,102.39,249.4,7837.7,,,
2025-12-23 11:29:24,8,94.93,249.6,7837.7,,,
2025-12-23 11:29:36,9,84.94,249.7,7837.7,,,
2025-12-23 11:29:48,9,96.67,250.4,7837.7,,,
2025-12-23 11:29:59,9,106.38,256.8,7837.7,,,
