timestamp,elapsed_min,gen0_before,gen1_before,gen2_before,collected,total_before,gen0_after,gen1_after,gen2_after
2026-01-02 11:00:56,157,42,8,0,0,50,0,0,0
2026-01-02 11:01:13,157,42,8,0,0,50,0,0,0
2026-01-02 11:01:28,158,42,8,0,0,50,0,0,0
2026-01-02 11:01:45,158,42,8,0,0,50,0,0,0
2026-01-02 11:02:01,158,42,8,0,0,50,0,0,0
2026-01-02 11:02:18,159,42,8,0,0,50,0,0,0
2026-01-02 11:02:33,159,42,8,0,0,50,0,0,0
2026-01-02 11:02:50,159,42,8,0,0,50,0,0,0
2026-01-02 11:03:05,159,42,8,0,0,50,0,0,0
2026-01-02 11:03:21,160,42,8,0,0,50,0,0,0
2026-01-02 11:03:37,160,42,8,0,0,50,0,0,0
2026-01-02 11:03:52,160,42,8,0,0,50,0,0,0
2026-01-02 11:04:08,160,42,8,0,0,50,0,0,0
2026-01-02 11:04:23,161,42,8,0,0,50,0,0,0
2026-01-02 11:04:38,161,42,8,0,0,50,0,0,0
2026-01-02 11:04:56,161,42,8,0,0,50,0,0,0
2026-01-02 11:05:12,161,42,8,0,0,50,0,0,0
2026-01-02 11:05:29,162,42,8,0,0,50,0,0,0
2026-01-02 11:05:47,162,42,8,0,0,50,0,0,0
2026-01-02 11:06:02,162,42,8,0,0,50,0,0,0
2026-01-02 11:06:18,163,42,8,0,0,50,0,0,0
2026-01-02 11:06:34,163,42,8,0,0,50,0,0,0
2026-01-02 11:06:50,163,42,8,0,0,50,0,0,0
2026-01-02 11:07:06,163,42,8,0,0,50,0,0,0
2026-01-02 11:07:22,164,42,8,0,0,50,0,0,0
2026-01-02 11:07:39,164,42,8,0,0,50,0,0,0
2026-01-02 11:07:55,164,42,8,0,0,50,0,0,0
2026-01-02 11:08:11,164,42,8,0,0,50,0,0,0
2026-01-02 11:08:27,165,42,8,0,0,50,0,0,0
2026-01-02 11:08:43,165,42,8,0,0,50,0,0,0
2026-01-02 11:08:58,165,42,8,0,0,50,0,0,0
2026-01-02 11:09:15,165,42,8,0,0,50,0,0,0
2026-01-02 11:09:30,166,42,8,0,0,50,0,0,0
2026-01-02 11:09:48,166,42,8,0,0,50,0,0,0
2026-01-02 11:10:03,166,42,8,0,0,50,0,0,0
2026-01-02 11:10:19,167,42,8,0,0,50,0,0,0
2026-01-02 11:10:35,167,42,8,0,0,50,0,0,0
2026-01-02 11:10:51,167,42,8,0,0,50,0,0,0
2026-01-02 11:11:07,167,42,8,0,0,50,0,0,0
2026-01-02 11:11:23,168,42,8,0,0,50,0,0,0
2026-01-02 11:11:39,168,42,8,0,0,50,0,0,0
2026-01-02 11:11:54,168,42,8,0,0,50,0,0,0
2026-01-02 11:12:10,168,42,8,0,0,50,0,0,0
2026-01-02 11:12:29,169,42,8,0,0,50,0,0,0
2026-01-02 11:12:45,169,42,8,0,0,50,0,0,0
2026-01-02 11:13:00,169,42,8,0,0,50,0,0,0
2026-01-02 11:13:17,170,42,8,0,0,50,0,0,0
2026-01-02 11:13:33,170,42,8,0,0,50,0,0,0
2026-01-02 11:13:48,170,42,8,0,0,50,0,0,0
2026-01-02 11:14:06,170,42,8,0,0,50,0,0,0
2026-01-02 11:14:21,171,42,8,0,0,50,0,0,0
2026-01-02 11:14:37,171,42,8,0,0,50,0,0,0
2026-01-02 11:14:53,171,42,8,0,0,50,0,0,0
2026-01-02 11:15:08,171,42,8,0,0,50,0,0,0
2026-01-02 11:15:25,172,42,8,0,0,50,0,0,0
2026-01-02 11:15:40,172,42,8,0,0,50,0,0,0
2026-01-02 11:15:56,172,42,8,0,0,50,0,0,0
2026-01-02 11:16:13,172,42,8,0,0,50,0,0,0
2026-01-02 11:16:28,173,42,8,0,0,50,0,0,0
2026-01-02 11:16:46,173,42,8,0,0,50,0,0,0
2026-01-02 11:17:01,173,42,8,0,0,50,0,0,0
2026-01-02 11:17:19,174,42,8,0,0,50,0,0,0
2026-01-02 11:17:35,174,42,8,0,0,50,0,0,0
2026-01-02 11:17:50,174,42,8,0,0,50,0,0,0
2026-01-02 11:18:07,174,42,8,0,0,50,0,0,0
2026-01-02 11:18:22,175,42,8,0,0,50,0,0,0
2026-01-02 11:18:37,175,42,8,0,0,50,0,0,0
2026-01-02 11:18:54,175,42,8,0,0,50,0,0,0
2026-01-02 11:19:09,175,42,8,0,0,50,0,0,0
2026-01-02 11:19:25,176,42,8,0,0,50,0,0,0
2026-01-02 11:19:41,176,42,8,0,0,50,0,0,0
2026-01-02 11:19:57,176,42,8,0,0,50,0,0,0
2026-01-02 11:20:13,176,42,8,0,0,50,0,0,0
2026-01-02 11:20:28,177,42,8,0,0,50,0,0,0
2026-01-02 11:20:44,177,42,8,0,0,50,0,0,0
2026-01-02 11:20:59,177,42,8,0,0,50,0,0,0
2026-01-02 11:21:14,177,42,8,0,0,50,0,0,0
2026-01-02 11:21:31,178,42,8,0,0,50,0,0,0
2026-01-02 11:21:47,178,42,8,0,0,50,0,0,0
2026-01-02 11:22:02,178,42,8,0,0,50,0,0,0
2026-01-02 11:22:17,179,42,8,0,0,50,0,0,0
2026-01-02 11:22:33,179,42,8,0,0,50,0,0,0
2026-01-02 11:22:48,179,42,8,0,0,50,0,0,0
2026-01-02 11:23:04,179,42,8,0,0,50,0,0,0
2026-01-02 11:23:20,180,42,8,0,0,50,0,0,0
2026-01-02 11:23:37,180,42,8,0,0,50,0,0,0
2026-01-02 11:23:52,180,42,8,0,0,50,0,0,0
2026-01-02 11:24:08,180,42,8,0,0,50,0,0,0
2026-01-02 11:24:25,181,42,8,0,0,50,0,0,0
2026-01-02 11:24:41,181,42,8,0,0,50,0,0,0
2026-01-02 11:24:58,181,42,8,0,0,50,0,0,0
2026-01-02 11:25:13,181,42,8,0,0,50,0,0,0
2026-01-02 11:25:30,182,42,8,0,0,50,0,0,0
2026-01-02 11:25:46,182,42,8,0,0,50,0,0,0
2026-01-02 11:26:03,182,42,8,0,0,50,0,0,0
2026-01-02 11:26:18,183,42,8,0,0,50,0,0,0
2026-01-02 11:26:34,183,42,8,0,0,50,0,0,0
2026-01-02 11:26:49,183,42,8,0,0,50,0,0,0
2026-01-02 11:27:07,183,42,8,0,0,50,0,0,0
2026-01-02 11:27:23,184,42,8,0,0,50,0,0,0
2026-01-02 11:27:41,184,42,8,0,0,50,0,0,0
2026-01-02 11:27:57,184,42,8,0,0,50,0,0,0
2026-01-02 11:28:14,184,42,8,0,0,50,0,0,0
2026-01-02 11:28:30,185,42,8,0,0,50,0,0,0
2026-01-02 11:28:46,185,42,8,0,0,50,0,0,0
2026-01-02 11:29:02,185,42,8,0,0,50,0,0,0
2026-01-02 11:29:17,186,42,8,0,0,50,0,0,0
2026-01-02 11:29:32,186,42,8,0,0,50,0,0,0
2026-01-02 11:29:48,186,42,8,0,0,50,0,0,0
2026-01-02 11:30:03,186,42,8,0,0,50,0,0,0
2026-01-02 11:30:19,187,42,8,0,0,50,0,0,0
2026-01-02 11:30:35,187,42,8,0,0,50,0,0,0
2026-01-02 11:30:51,187,42,8,0,0,50,0,0,0
2026-01-02 11:31:07,187,42,8,0,0,50,0,0,0
2026-01-02 11:31:23,188,42,8,0,0,50,0,0,0
2026-01-02 11:31:38,188,42,8,0,0,50,0,0,0
2026-01-02 11:31:54,188,42,8,0,0,50,0,0,0
2026-01-02 11:32:10,188,42,8,0,0,50,0,0,0
2026-01-02 11:32:27,189,42,8,0,0,50,0,0,0
2026-01-02 11:32:42,189,42,8,0,0,50,0,0,0
2026-01-02 11:32:57,189,42,8,0,0,50,0,0,0
2026-01-02 11:33:14,189,42,8,0,0,50,0,0,0
2026-01-02 11:33:31,190,42,8,0,0,50,0,0,0
2026-01-02 11:33:48,190,42,8,0,0,50,0,0,0
2026-01-02 11:34:04,190,42,8,0,0,50,0,0,0
2026-01-02 11:34:19,191,42,8,0,0,50,0,0,0
2026-01-02 11:34:35,191,42,8,0,0,50,0,0,0
2026-01-02 11:34:51,191,42,8,0,0,50,0,0,0
2026-01-02 11:35:10,191,42,8,0,0,50,0,0,0
2026-01-02 11:35:27,192,42,8,0,0,50,0,0,0
2026-01-02 11:35:42,192,42,8,0,0,50,0,0,0
2026-01-02 11:35:58,192,42,8,0,0,50,0,0,0
2026-01-02 11:36:14,192,42,8,0,0,50,0,0,0
2026-01-02 11:36:29,193,42,8,0,0,50,0,0,0
2026-01-02 11:36:49,193,42,8,0,0,50,0,0,0
2026-01-02 11:37:05,193,42,8,0,0,50,0,0,0
2026-01-02 11:37:22,194,42,8,0,0,50,0,0,0
2026-01-02 11:37:37,194,42,8,0,0,50,0,0,0
2026-01-02 11:37:53,194,42,8,0,0,50,0,0,0
2026-01-02 11:38:09,194,42,8,0,0,50,0,0,0
2026-01-02 11:38:26,195,42,8,0,0,50,0,0,0
2026-01-02 11:38:41,195,42,8,0,0,50,0,0,0
2026-01-02 11:38:57,195,42,8,0,0,50,0,0,0
2026-01-02 11:39:13,195,42,8,0,0,50,0,0,0
2026-01-02 11:39:29,196,42,8,0,0,50,0,0,0
2026-01-02 11:39:47,196,42,8,0,0,50,0,0,0
2026-01-02 11:40:03,196,42,8,0,0,50,0,0,0
2026-01-02 11:40:19,197,42,8,0,0,50,0,0,0
2026-01-02 11:40:35,197,42,8,0,0,50,0,0,0
2026-01-02 11:40:51,197,42,8,0,0,50,0,0,0
2026-01-02 11:41:08,197,42,8,0,0,50,0,0,0
2026-01-02 11:41:23,198,42,8,0,0,50,0,0,0
2026-01-02 11:41:39,198,42,8,0,0,50,0,0,0
2026-01-02 11:41:55,198,42,8,0,0,50,0,0,0
2026-01-02 11:42:10,198,42,8,0,0,50,0,0,0
2026-01-02 11:42:26,199,42,8,0,0,50,0,0,0
2026-01-02 11:42:43,199,42,8,0,0,50,0,0,0
2026-01-02 11:42:58,199,42,8,0,0,50,0,0,0
2026-01-02 11:43:13,199,42,8,0,0,50,0,0,0
2026-01-02 11:43:29,200,42,8,0,0,50,0,0,0
2026-01-02 11:43:45,200,42,8,0,0,50,0,0,0
2026-01-02 11:44:00,200,42,8,0,0,50,0,0,0
2026-01-02 11:44:16,201,42,8,0,0,50,0,0,0
2026-01-02 11:44:31,201,42,8,0,0,50,0,0,0
2026-01-02 11:44:47,201,42,8,0,0,50,0,0,0
2026-01-02 11:45:02,201,42,8,0,0,50,0,0,0
2026-01-02 11:45:17,202,42,8,0,0,50,0,0,0
2026-01-02 11:45:33,202,42,8,0,0,50,0,0,0
2026-01-02 11:45:49,202,42,8,0,0,50,0,0,0
2026-01-02 11:46:05,202,42,8,0,0,50,0,0,0
2026-01-02 11:46:20,203,42,8,0,0,50,0,0,0
2026-01-02 11:46:36,203,42,8,0,0,50,0,0,0
2026-01-02 11:46:51,203,42,8,0,0,50,0,0,0
2026-01-02 11:47:08,203,42,8,0,0,50,0,0,0
2026-01-02 11:47:24,204,42,8,0,0,50,0,0,0
2026-01-02 11:47:41,204,42,8,0,0,50,0,0,0
2026-01-02 11:47:57,204,42,8,0,0,50,0,0,0
2026-01-02 11:48:13,204,42,8,0,0,50,0,0,0
2026-01-02 11:48:28,205,42,8,0,0,50,0,0,0
2026-01-02 11:48:43,205,42,8,0,0,50,0,0,0
2026-01-02 11:48:58,205,42,8,0,0,50,0,0,0
2026-01-02 11:49:14,205,42,8,0,0,50,0,0,0
2026-01-02 11:49:29,206,42,8,0,0,50,0,0,0
2026-01-02 11:49:45,206,42,8,0,0,50,0,0,0
2026-01-02 11:50:00,206,42,8,0,0,50,0,0,0
2026-01-02 11:50:16,207,42,8,0,0,50,0,0,0
2026-01-02 11:50:31,207,42,8,0,0,50,0,0,0
2026-01-02 11:50:47,207,42,8,0,0,50,0,0,0
2026-01-02 11:51:02,207,42,8,0,0,50,0,0,0
2026-01-02 11:51:18,208,42,8,0,0,50,0,0,0
2026-01-02 11:51:33,208,42,8,0,0,50,0,0,0
2026-01-02 11:51:49,208,42,8,0,0,50,0,0,0
2026-01-02 11:52:05,208,42,8,0,0,50,0,0,0
2026-01-02 11:52:20,209,42,8,0,0,50,0,0,0
2026-01-02 11:52:36,209,42,8,0,0,50,0,0,0
2026-01-02 11:52:51,209,42,8,0,0,50,0,0,0
2026-01-02 11:53:07,209,42,8,0,0,50,0,0,0
2026-01-02 11:53:22,210,42,8,0,0,50,0,0,0
2026-01-02 11:53:37,210,42,8,0,0,50,0,0,0
2026-01-02 11:53:52,210,42,8,0,0,50,0,0,0
2026-01-02 11:54:08,210,42,8,0,0,50,0,0,0
2026-01-02 11:54:23,211,42,8,0,0,50,0,0,0
2026-01-02 11:54:38,211,42,8,0,0,50,0,0,0
2026-01-02 11:54:53,211,42,8,0,0,50,0,0,0
2026-01-02 11:55:09,211,42,8,0,0,50,0,0,0
2026-01-02 11:55:25,212,42,8,0,0,50,0,0,0
2026-01-02 11:55:40,212,42,8,0,0,50,0,0,0
2026-01-02 11:55:56,212,42,8,0,0,50,0,0,0
2026-01-02 11:56:11,212,42,8,0,0,50,0,0,0
2026-01-02 11:56:27,213,42,8,0,0,50,0,0,0
2026-01-02 11:56:42,213,42,8,0,0,50,0,0,0
2026-01-02 11:56:57,213,42,8,0,0,50,0,0,0
2026-01-02 11:57:13,213,42,8,0,0,50,0,0,0
2026-01-02 11:57:29,214,42,8,0,0,50,0,0,0
2026-01-02 11:57:45,214,42,8,0,0,50,0,0,0
2026-01-02 11:58:01,214,42,8,0,0,50,0,0,0
2026-01-02 11:58:17,215,42,8,0,0,50,0,0,0
2026-01-02 11:58:33,215,42,8,0,0,50,0,0,0
2026-01-02 11:58:48,215,42,8,0,0,50,0,0,0
2026-01-02 11:59:03,215,42,8,0,0,50,0,0,0
2026-01-02 11:59:19,216,42,8,0,0,50,0,0,0
2026-01-02 11:59:34,216,42,8,0,0,50,0,0,0
2026-01-02 11:59:49,216,42,8,0,0,50,0,0,0
2026-01-02 12:00:05,216,42,8,0,0,50,0,0,0
2026-01-02 12:00:21,217,42,8,0,0,50,0,0,0
2026-01-02 12:00:36,217,42,8,0,0,50,0,0,0
2026-01-02 12:00:51,217,42,8,0,0,50,0,0,0
2026-01-02 12:01:07,217,42,8,0,0,50,0,0,0
2026-01-02 12:01:26,218,42,8,0,0,50,0,0,0
2026-01-02 12:01:41,218,42,8,0,0,50,0,0,0
2026-01-02 12:01:57,218,42,8,0,0,50,0,0,0
2026-01-02 12:02:12,218,42,8,0,0,50,0,0,0
2026-01-02 12:02:27,219,42,8,0,0,50,0,0,0
2026-01-02 12:02:43,219,42,8,0,0,50,0,0,0
2026-01-02 12:02:58,219,42,8,0,0,50,0,0,0
2026-01-02 12:03:13,219,42,8,0,0,50,0,0,0
2026-01-02 12:03:30,220,42,8,0,0,50,0,0,0
2026-01-02 12:03:45,220,42,8,0,0,50,0,0,0
2026-01-02 12:04:01,220,42,8,0,0,50,0,0,0
2026-01-02 12:04:16,221,42,8,0,0,50,0,0,0
2026-01-02 12:04:31,221,42,8,0,0,50,0,0,0
2026-01-02 12:04:47,221,42,8,0,0,50,0,0,0
2026-01-02 12:05:02,221,42,8,0,0,50,0,0,0
2026-01-02 12:05:18,222,42,8,0,0,50,0,0,0
2026-01-02 12:05:33,222,42,8,0,0,50,0,0,0
2026-01-02 12:05:48,222,42,8,0,0,50,0,0,0
2026-01-02 12:06:03,222,42,8,0,0,50,0,0,0
2026-01-02 12:06:19,223,42,8,0,0,50,0,0,0
2026-01-02 12:06:35,223,42,8,0,0,50,0,0,0
2026-01-02 12:06:50,223,42,8,0,0,50,0,0,0
2026-01-02 12:07:06,223,42,8,0,0,50,0,0,0
2026-01-02 12:07:21,224,42,8,0,0,50,0,0,0
2026-01-02 12:07:37,224,42,8,0,0,50,0,0,0
