timestamp,elapsed_min,gen0_before,gen1_before,gen2_before,collected,total_before,gen0_after,gen1_after,gen2_after
2025-12-19 09:51:40,0,42,8,0,0,50,0,0,0
2025-12-19 09:54:37,2,42,8,0,0,50,0,0,0
2025-12-19 09:54:52,3,42,8,0,0,50,0,0,0
2025-12-19 09:55:08,3,42,8,0,0,50,0,0,0
2025-12-19 09:55:23,3,42,8,0,0,50,0,0,0
2025-12-19 09:55:38,3,42,8,0,0,50,0,0,0
2025-12-19 09:55:53,4,42,8,0,0,50,0,0,0
2025-12-19 09:56:08,4,42,8,0,0,50,0,0,0
2025-12-19 09:56:23,4,42,8,0,0,50,0,0,0
2025-12-19 09:56:38,4,42,8,0,0,50,0,0,0
2025-12-19 09:56:53,5,42,8,0,0,50,0,0,0
2025-12-19 09:57:08,5,42,8,0,0,50,0,0,0
2025-12-19 09:57:23,5,42,8,0,0,50,0,0,0
2025-12-19 09:57:38,5,42,8,0,0,50,0,0,0
2025-12-19 09:57:53,6,42,8,0,0,50,0,0,0
2025-12-19 09:58:08,6,42,8,0,0,50,0,0,0
2025-12-19 09:58:23,6,42,8,0,0,50,0,0,0
2025-12-19 09:58:38,6,42,8,0,0,50,0,0,0
2025-12-19 09:58:53,7,42,8,0,0,50,0,0,0
2025-12-19 09:59:08,7,42,8,0,0,50,0,0,0
2025-12-19 09:59:23,7,42,8,0,0,50,0,0,0
2025-12-19 09:59:38,7,42,8,0,0,50,0,0,0
2025-12-19 09:59:53,8,42,8,0,0,50,0,0,0
2025-12-19 10:00:08,8,42,8,0,0,50,0,0,0
2025-12-19 10:00:23,8,42,8,0,0,50,0,0,0
2025-12-19 10:00:38,8,42,8,0,0,50,0,0,0
2025-12-19 10:00:53,9,42,8,0,0,50,0,0,0
2025-12-19 10:01:08,9,42,8,0,0,50,0,0,0
2025-12-19 10:01:23,9,42,8,0,0,50,0,0,0
2025-12-19 10:01:38,9,42,8,0,0,50,0,0,0
2025-12-19 10:01:54,10,42,8,0,0,50,0,0,0
2025-12-19 10:02:09,10,42,8,0,0,50,0,0,0
2025-12-19 10:02:24,10,42,8,0,0,50,0,0,0
2025-12-19 10:02:39,10,42,8,0,0,50,0,0,0
2025-12-19 10:02:53,11,42,8,0,0,50,0,0,0
2025-12-19 10:03:08,11,42,8,0,0,50,0,0,0
2025-12-19 10:03:23,11,42,8,0,0,50,0,0,0
2025-12-19 10:03:38,11,42,8,0,0,50,0,0,0
2025-12-19 10:03:53,12,42,8,0,0,50,0,0,0
2025-12-19 10:04:08,12,42,8,0,0,50,0,0,0
2025-12-19 10:04:23,12,42,8,0,0,50,0,0,0
2025-12-19 10:04:38,12,42,8,0,0,50,0,0,0
2025-12-19 10:04:53,13,42,8,0,0,50,0,0,0
2025-12-19 10:05:08,13,42,8,0,0,50,0,0,0
2025-12-19 10:05:24,13,42,8,0,0,50,0,0,0
2025-12-19 10:05:39,13,42,8,0,0,50,0,0,0
2025-12-19 10:05:54,14,42,8,0,0,50,0,0,0
2025-12-19 10:06:09,14,42,8,0,0,50,0,0,0
2025-12-19 10:06:24,14,42,8,0,0,50,0,0,0
2025-12-19 10:06:39,14,42,8,0,0,50,0,0,0
2025-12-19 10:06:55,15,42,8,0,0,50,0,0,0
2025-12-19 10:07:10,15,42,8,0,0,50,0,0,0
2025-12-19 10:07:25,15,42,8,0,0,50,0,0,0
2025-12-19 10:07:40,16,42,8,0,0,50,0,0,0
2025-12-19 10:07:56,16,42,8,0,0,50,0,0,0
2025-12-19 10:08:11,16,42,8,0,0,50,0,0,0
2025-12-19 10:08:27,16,42,8,0,0,50,0,0,0
2025-12-19 10:08:42,17,42,8,0,0,50,0,0,0
